upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
26,22,224.93765274183693,239.64803465739763,11,11,2.0298144863736428e-07,2.6035303572152667e-07,1.2826444853423988,0.10810629826927343,"[14, 186]","[11, 14]","[3, 2]","[3, 3]",3.6080528093672157,1.7885237686800366,True,transition
24,23,215.53504734180115,238.65381107275525,11,12,1.9354248537954855e-06,4.283789476964202e-07,0.22133587199541388,-0.6549481940838281,"[13, 16]","[12, 13]","[2, 3]","[2, 2]",2.1651695351515023,4.0806622434928315,True,transition
30,24,211.89698742615428,215.53504734180115,11,11,6.219143367097329e-07,1.9354248537954855e-06,3.112044118543628,0.49304574522775113,"[16, 19]","[13, 16]","[3, 2]","[2, 3]",3.2246661650841197,2.1651695351515023,True,transition
31,24,196.38979467172095,215.53504734180115,10,11,1.3284406939857564e-06,1.9354248537954855e-06,1.4569147592043257,0.1634341429229482,"[16, 65]","[13, 16]","[3, 2]","[2, 3]",4.066998363042909,2.1651695351515023,True,transition
25,26,217.5012225556982,224.93765274183693,10,11,1.8162917295995272e-07,2.0298144863736428e-07,1.1175597252877405,0.048270742246727345,"[14, 17]","[14, 186]","[3, 3]","[3, 2]",2.937381648035064,3.6080528093672157,True,transition
32,25,195.36759530715372,217.5012225556982,9,10,7.311237622881518e-07,1.8162917295995272e-07,0.24842466122496057,-0.6048052937519189,"[17, 31]","[14, 17]","[3, 2]","[3, 3]",1.823449260077684,2.937381648035064,True,transition
33,25,213.4689619178194,217.5012225556982,10,10,9.698106889736938e-08,1.8162917295995272e-07,1.8728312136068797,0.27249863893304815,"[17, 186]","[14, 17]","[3, 2]","[3, 3]",4.346081354050835,2.937381648035064,True,transition
33,26,213.4689619178194,224.93765274183693,10,11,9.698106889736938e-08,2.0298144863736428e-07,2.0930007365888104,0.3207693811797756,"[17, 186]","[14, 186]","[3, 2]","[3, 2]",4.346081354050835,3.6080528093672157,True,transition
28,27,459.8014009060928,460.82458371103155,21,21,9.904353269839593e-09,1.992689630653267e-08,2.0119331130093463,0.30361353844462047,"[15, 56]","[15, 22]","[5, 3]","[5, 4]",1.8859859352315809,3.4402159857315233,True,transition
29,27,450.92928321989325,460.82458371103155,21,21,5.962901720445488e-09,1.992689630653267e-08,3.341811963495507,0.5239820094371569,"[15, 110]","[15, 22]","[5, 2]","[5, 4]",5.436158091802639,3.4402159857315233,True,transition
