hotspot_id,steps,corrected_geodesic_nm,classification,M2,M4
196,31,686.3002056969857,remote,1.504784100561573e-05,2.2643751893029025e-10
197,28,624.607446148185,transition,3.798379722231466e-05,1.4427688514259188e-09
198,37,804.3999640377378,remote,5.155760817262869e-06,2.658186960482309e-11
199,37,798.9068834425108,remote,8.43135266916465e-06,7.108770783182987e-11
200,24,524.8647993559889,transition,2.403841113103015e-05,5.778452097044342e-10
201,1,22.556013881068633,source,5.270992962504057,27.78336681076729
202,27,595.4858365055117,transition,7.707135671496552e-05,5.93999402588546e-09
203,27,594.2634618580691,transition,3.676432680229942e-05,1.3516157252262713e-09
204,16,333.346516847983,transition,0.0007132138106349044,5.086739396803613e-07
205,16,319.90633425484845,transition,0.001526152033280391,2.329140028685872e-06
206,23,500.444367917938,transition,0.00019101657952896582,3.6487333654945725e-08
207,23,484.8012153119919,transition,0.00014600533692969288,2.131755841195314e-08
208,29,646.9019114654717,transition,4.200753957355803e-05,1.7646333810240437e-09
209,25,545.1899113469506,transition,5.876716881317306e-05,3.45358013031598e-09
210,25,548.7490091691132,transition,1.4094564133036052e-05,1.9865673810026632e-10
211,24,522.9491934015955,transition,0.00010609665240565426,1.1256499651686222e-08
212,32,700.5758378192728,transition,2.361653181578663e-05,5.57740575006062e-10
213,32,705.6243674926945,transition,1.6692761741848573e-05,2.786482945701234e-10
214,25,546.5081087183017,transition,5.742291899594066e-05,3.2973916260143625e-09
215,17,356.04878800281114,transition,0.00044993944824112456,2.024455070835276e-07
216,15,308.4515205758932,transition,0.0007814497442312731,6.106637027591221e-07
217,10,194.19717610576635,source,0.003187915937285243,1.0162808023197248e-05
218,18,379.57510338155174,transition,0.0003304227427435424,1.0917918892216521e-07
219,18,370.7346151880416,transition,8.187114887911516e-05,6.70288501878624e-09
220,21,449.0805604650879,transition,7.216168998882832e-05,5.207309502043766e-09
221,19,402.9790316907762,transition,0.00023451419684056182,5.499690851977378e-08
222,12,240.94055774866598,transition,0.0001801514507157235,3.245454519497976e-08
223,26,568.0967533592438,transition,5.204034424376677e-05,2.708197429009749e-09
224,32,710.0116771830518,remote,1.934514814950244e-05,3.742347569261977e-10
225,33,712.235762223276,transition,6.563388072706091e-06,4.3078062992940583e-11
226,30,668.604201446997,remote,1.6150635263023534e-05,2.6084301939921925e-10
227,19,384.0290345620209,transition,0.0004373764523286038,1.9129816105155543e-07
228,16,329.0325509883201,transition,0.002130324767121499,4.538283613411269e-06
229,0,0.0,source,11.240323650697121,126.34487577242106
230,21,422.0700759529404,transition,9.841574547428189e-05,9.685658957258635e-09
231,31,691.8881989660945,remote,2.0581265548301876e-05,4.235884915697177e-10
232,16,318.3378680329732,transition,9.81055714597373e-05,9.624703151441623e-09
233,20,426.71982902155975,transition,0.0001610362531392178,2.5932674825118233e-08
234,7,142.32840332923905,source,0.0054432612034735345,2.962909252924015e-05
235,25,546.9671323485596,transition,2.4910347325130168e-05,6.205254038586197e-10
236,36,789.6291445507094,remote,3.46557191382128e-06,1.201018868986689e-11
237,17,351.1155793163316,transition,0.0012152363684532373,1.4767994312114124e-06
238,33,732.5563841059228,remote,1.2337392875729542e-05,1.5221126297010207e-10
239,20,407.15479298635654,transition,0.00026291780738207276,6.912577343859671e-08
240,20,405.4931010023099,transition,0.00011695688246256018,1.3678912355361115e-08
241,31,683.033655307027,remote,1.8852593571889592e-05,3.5542028438685276e-10
242,31,681.3587441467824,remote,1.4467268615755113e-05,2.0930186120041286e-10
243,37,810.0079930589624,remote,9.318176552332842e-06,8.682841426044557e-11
244,1,20.19158380461698,source,0.7733713816590334,0.5981032939692024
245,11,216.8025341863331,source,0.004079864187957981,1.6645291792182035e-05
246,12,239.95285467247868,source,0.0011094529733206245,1.2308859000099745e-06
247,34,756.6614030811594,remote,1.1597611316032437e-05,1.3450458823776362e-10
248,35,780.3641948734482,remote,1.0586986589023808e-05,1.1208428503616997e-10
249,21,429.7653956475097,transition,0.000297115312263733,8.827750878157558e-08
250,21,417.31250998605344,transition,4.159808490450108e-05,1.7304006677220803e-09
251,28,616.7592931675963,transition,2.3124236231352057e-05,5.347303012833751e-10
252,36,800.2303615653008,remote,9.254825487622643e-06,8.565179480634968e-11
253,32,693.342841929103,remote,1.3194297191372551e-05,1.7408947837426158e-10
