upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
92,145,18,19,2,3,2.9250505872045007,3.1253780617994864,3.0786156212651328,True,268.63574634145766,0.8255545398836441,False
93,106,13,14,2,2,3.2008638490948567,2.6750561863626388,2.6239719303016678,True,201.6397483642816,0.7144148129613724,False
94,101,8,9,4,4,2.291050345026786,3.5801869955508643,2.300008478232524,True,133.27239156057306,1.5649513178908565,True
199,94,7,8,4,4,2.4501306755267898,2.291050345026786,1.881727902106551,True,143.99181445822717,0.873332628748822,False
95,103,25,26,3,3,3.1598012690098103,3.976658039356078,4.4708702744113005,True,363.7220373288397,0.7650080599905872,False
95,154,25,26,3,3,3.1598012690098103,3.5455210519382625,2.720383102708748,True,377.1997743370125,0.9215035567638089,False
176,96,1,2,2,2,3.043395392547268,3.5309189072299834,3.4991930659693757,True,26.058010594613133,1.379641029298868,True
97,98,34,35,2,3,3.041316360338408,3.7195585810604044,4.471159596851464,False,545.9658978915536,0.788352869759019,False
98,113,35,36,3,3,3.7195585810604044,4.123229769213055,4.622701992916266,True,568.4862817713276,1.0405167671482605,True
98,157,35,36,3,3,3.7195585810604044,3.0241788397272082,2.064814153413483,True,563.0434324988574,0.7303152325287586,False
99,129,31,32,2,3,3.2975801229971378,3.7505205451402914,3.9971275145966665,False,456.95434702484516,1.0300317335362512,True
100,161,26,27,3,1,3.1977104788135513,1.1460749872691167,1.1460749872691167,False,499.1844335919664,0.735868010427161,False
100,184,26,27,3,2,3.1977104788135513,3.4685240071048664,3.8283494608030004,True,493.2508524772018,0.9946099133144746,False
101,108,9,10,4,2,3.5801869955508643,2.780563386771142,4.513959045001847,True,115.43082380566753,4.112986134439171,True
101,134,9,10,4,3,3.5801869955508643,2.1304625052073063,3.163832208166653,True,136.00489636050025,1.4970992910657852,True
102,107,23,24,3,2,3.1568351632672567,4.30900628535497,3.6919012249683156,True,444.9166316784388,0.9476944532860586,False
102,119,23,24,3,3,3.1568351632672567,3.6508308515186756,2.7566548688974706,True,444.0819899225309,0.8708564898004802,False
103,121,26,27,3,3,3.976658039356078,2.7522452471489416,2.607757356367113,False,380.0167371423807,0.764968978633481,False
104,148,19,20,2,2,3.6764066820096186,4.143262959983321,4.5490656776021545,True,302.11302752383517,0.8516048644678984,False
105,109,29,30,2,3,3.119650918171743,2.590346048832828,2.3620911488270018,False,544.870573939423,0.9944313691200936,False
106,111,14,15,2,3,2.6750561863626388,2.9524277354338566,2.7261404424236098,True,215.92754384309836,0.6777041942314164,False
109,116,30,31,3,3,2.590346048832828,3.26923268027287,3.2443526027223513,True,566.0505079171384,0.9036093873705195,False
109,131,30,31,3,2,2.590346048832828,2.0045709946318997,2.1645943949491304,True,563.6653366833465,0.8344668353098247,False
111,122,15,16,3,4,2.9524277354338566,1.6674227047613082,2.2675478428532188,True,228.9117147094841,0.9646122597559575,False
111,135,15,16,3,2,2.9524277354338566,2.594112695711649,3.863594921024742,True,208.31511151148197,0.8277890559019225,False
112,115,5,6,2,2,3.227387580213808,3.2208048192003105,3.5682046277630484,False,76.30230678041461,1.5253194523817861,True
113,118,36,37,3,3,4.123229769213055,3.1614575759282615,2.7808085488256005,False,586.8408200966269,0.8545971161578002,False
114,133,14,15,2,2,2.3768278474512243,2.980281368136401,3.1257694897728356,False,172.11675788608864,0.6665899438119358,False
115,153,6,7,2,2,3.2208048192003105,3.5527736173913524,2.8734050106375726,False,63.71534742520706,2.4991722199444713,True
116,142,31,32,3,2,3.26923268027287,3.7538541449868568,4.718797843781591,False,590.6369788919037,0.6938755404915948,False
117,126,28,29,3,3,3.6997337375339243,3.982917044905181,3.3825481333235956,True,479.1667456024538,0.8358479998747608,False
118,168,37,38,3,1,3.1614575759282615,3.240911253654179,3.240911253654179,False,599.8535580077281,0.5015599305532884,False
118,198,37,38,3,1,3.1614575759282615,3.4626529253050045,3.4626529253050045,False,602.5579900680161,0.6732511689109831,False
119,127,24,25,3,3,3.6508308515186756,3.681258358137452,3.2697263399169323,True,467.129797004148,0.7970668661107265,False
147,120,1,2,3,2,2.952233112354513,2.857236318105249,2.877822565743063,True,45.11202776213725,0.3511873990812854,False
121,167,27,28,3,1,2.7522452471489416,3.55795006707935,3.55795006707935,False,403.0556742878467,0.8764851596988062,False
121,181,27,28,3,2,2.7522452471489416,2.899998354102566,2.0910283180003617,False,383.7884010075602,0.5736601732957073,False
122,132,16,17,4,2,1.6674227047613082,2.8726488755558144,1.9686643077217312,True,239.39493621221786,0.5454780903350215,False
125,128,23,24,4,2,2.9455973384141165,2.5186843293684937,1.907330272536683,False,316.6573827232202,0.8053693614847874,False
126,144,29,30,3,2,3.982917044905181,3.6078429512323353,2.9437415250790764,True,501.9204424565888,0.7538072631750167,False
127,141,25,26,3,2,3.681258358137452,3.1292644417326443,3.149830330058556,True,477.20896718109185,1.2240156612313806,True
127,173,25,26,3,1,3.681258358137452,4.624218404436867,4.624218404436867,False,491.7528110123307,0.8156927689357242,False
128,130,24,25,2,2,2.5186843293684937,3.5846003392508408,3.1300383862003045,False,325.05986639477175,0.7838158405429293,False
129,143,32,33,3,2,3.7505205451402914,3.079919912349263,3.934585312817653,True,480.57030131731995,0.7972970902281408,False
129,171,32,33,3,2,3.7505205451402914,2.772551659943714,3.3198488080065545,True,473.31103299920494,0.5921584007173719,False
130,180,25,26,2,1,3.5846003392508408,4.039162292301377,4.039162292301377,False,337.2151146755625,0.8097280262166392,False
132,137,17,18,2,3,2.8726488755558144,3.5243657198699694,3.7766334433898976,True,256.7162002372608,0.7011329731493471,False
133,146,15,16,2,2,2.980281368136401,2.388110408928254,2.8347932464999666,False,174.51167668677132,0.8719408577698429,False
134,170,10,11,3,2,2.1304625052073063,2.803466805721019,2.1803875789148286,False,128.64032120257502,0.5120324431281005,False
137,139,18,19,3,2,3.5243657198699694,3.655060675047878,3.4106610123227945,False,272.34085911866055,0.7516804729418554,False
137,145,18,19,3,3,3.5243657198699694,3.1253780617994864,3.385802703897216,True,268.63574634145766,0.9544000768148817,False
138,192,21,22,2,1,2.5348608373379733,3.498936135995809,3.498936135995809,False,414.569052008069,1.0456776729374677,True
139,152,19,20,2,2,3.655060675047878,3.769699662705966,3.899460337772961,False,293.3670900393277,0.7208319954354953,False
140,175,12,13,2,2,3.1986588579972466,2.636279249149659,2.5400950711624866,True,231.44230983385464,0.9700241419840434,False
141,184,26,27,2,2,3.1292644417326443,3.4685240071048664,3.1086985534067324,True,493.2508524772018,0.8973416273027618,False
142,160,32,33,2,2,3.7538541449868568,3.47584775272637,2.788910446192123,False,612.8923595775715,0.8558150930756658,False
144,149,30,31,2,3,3.6078429512323353,4.299310661203115,4.271944377385594,True,516.6980128802755,0.7808974346203091,False
145,162,19,20,3,3,3.1253780617994864,3.702878331569083,2.911715860236111,True,288.9123299183576,0.8933612492156274,False
146,159,16,17,2,2,2.388110408928254,2.2870498815712637,1.9414275713565416,False,193.11731542201156,0.8512269928185331,False
169,147,0,1,2,3,2.4180632446968673,2.952233112354513,2.2485287702685746,True,22.248528770268575,0.8314364561591028,False
148,191,20,21,2,3,4.143262959983321,4.564174193985559,3.737460242364488,True,311.5244528483816,0.8726780815337475,False
149,194,31,32,3,1,4.299310661203115,3.4610789204311168,3.4610789204311168,False,537.8750694104788,0.746822449912315,False
151,165,16,17,2,1,3.733922726018829,3.9674456027046823,3.9674456027046823,False,279.06625924265444,0.6847709322559692,False
152,158,20,21,2,1,3.769699662705966,3.6399389876389705,3.6399389876389705,False,313.4775332134896,0.6568156563647783,False
153,188,7,8,2,1,3.5527736173913524,4.232142224145132,4.232142224145132,False,69.99650590777331,0.3449782333657341,False
183,156,25,26,2,2,4.096381911675712,4.30849808347055,5.669930552138013,True,441.5054828294992,0.7442968420120448,False
157,164,36,37,3,2,3.0241788397272082,2.636245042897391,2.0415435998708418,False,566.6767937587898,0.7220015161617855,False
159,177,17,18,2,1,2.2870498815712637,2.6326721917859857,2.6326721917859857,False,215.0840247478332,0.507785248682997,False
160,174,33,34,2,2,3.47584775272637,4.119774773743666,4.162785059260617,False,630.3287370043909,0.830997515488839,False
162,179,20,21,3,3,3.702878331569083,3.550912405437733,3.638817967487075,True,307.47850295172435,0.6955658257747523,False
162,191,20,21,3,3,3.702878331569083,4.564174193985559,4.558101166984063,True,311.5244528483816,0.4450895059458241,False
163,193,31,32,3,2,3.354536481601368,4.291800286010751,3.968195564641171,True,570.3633741662737,0.7433440494824123,False
163,197,31,32,3,2,3.354536481601368,4.300133408472982,3.9848618095656327,True,557.6485333034976,0.6369238850475321,False
164,189,37,38,2,1,2.636245042897391,3.2309464859239405,3.2309464859239405,False,587.3299530320966,0.9244759903309503,False
169,176,0,1,2,2,2.4180632446968673,3.043395392547268,2.58759771912516,True,22.58759771912516,0.5832024076303471,False
170,172,11,12,2,2,2.803466805721019,3.1646574417423228,3.4265460325272095,False,118.70695101472263,2.0582930412856926,True
172,182,12,13,2,1,3.1646574417423228,2.902768850957436,2.902768850957436,False,114.51680955346961,1.123823317521767,True
174,178,34,35,2,2,4.119774773743666,3.711993838058108,4.076764488226715,False,649.2071380667041,0.8620124938616971,False
178,187,35,36,2,2,3.711993838058108,3.24305699637854,3.347223187889501,False,667.0315102857386,0.8594410446328162,False
179,190,21,22,3,1,3.550912405437733,1.6169580762179976,1.6169580762179976,False,325.94134428319103,0.6670658981946619,False
181,195,28,29,2,1,2.899998354102566,3.7089683902047703,3.7089683902047703,False,397.21070293142384,0.701931676900237,False
187,196,36,37,2,1,3.24305699637854,3.1388908048675788,3.1388908048675788,False,688.3956223881827,0.7970358775878907,False
