particle_id,E_inc_x_real,E_inc_x_imag,E_inc_y_real,E_inc_y_imag,E_inc_z_real,E_inc_z_imag,E_scat_x_real,E_scat_x_imag,E_scat_y_real,E_scat_y_imag,E_scat_z_real,E_scat_z_imag,E_total_x_real,E_total_x_imag,E_total_y_real,E_total_y_imag,E_total_z_real,E_total_z_imag
88,2.733425942427533e-154,0.0,0.0,0.0,0.0,0.0,-0.0005332025052018675,-0.0005629459641782345,0.001733344420430254,-0.002030313654809928,0.0,0.0,-0.0005332025052018675,-0.0005629459641782345,0.001733344420430254,-0.002030313654809928,0.0,0.0
89,7.064223686804079e-13,0.0,0.0,0.0,0.0,0.0,-0.010133286554050708,0.012885841449609223,-0.002167194048655732,0.018669556166726355,0.0,0.0,-0.010133286553344285,0.012885841449609223,-0.002167194048655732,0.018669556166726355,0.0,0.0
90,0.0003373693144065477,0.0,0.0,0.0,0.0,0.0,-0.007862345410988611,0.046913204852132025,0.022988971912074278,0.02525817265239975,0.0,0.0,-0.007524976096582064,0.046913204852132025,0.022988971912074278,0.02525817265239975,0.0,0.0
91,1.5688851647469743e-132,0.0,0.0,0.0,0.0,0.0,-0.0014180598552477634,-0.0006656488568339531,-0.002435722246651827,0.0008803362018495375,0.0,0.0,-0.0014180598552477634,-0.0006656488568339531,-0.002435722246651827,0.0008803362018495375,0.0,0.0
92,3.037707879980742e-62,0.0,0.0,0.0,0.0,0.0,0.003443451990533416,0.0010749716577708231,0.004233257174154492,-0.0017399684266151826,0.0,0.0,0.003443451990533416,0.0010749716577708231,0.004233257174154492,-0.0017399684266151826,0.0,0.0
93,1.6208918674145123e-19,0.0,0.0,0.0,0.0,0.0,-0.004807094961551985,-1.5578779389762075e-05,-0.005537649219620549,-0.009358481635414018,0.0,0.0,-0.004807094961551985,-1.5578779389762075e-05,-0.005537649219620549,-0.009358481635414018,0.0,0.0
94,1.020574991647146e-141,0.0,0.0,0.0,0.0,0.0,-0.001007874942177306,-0.001234912068221463,-0.002386818231411201,-0.00043006363469614786,0.0,0.0,-0.001007874942177306,-0.001234912068221463,-0.002386818231411201,-0.00043006363469614786,0.0,0.0
95,1.845612351363883e-58,0.0,0.0,0.0,0.0,0.0,0.0013637113934210554,-0.00111496491880333,0.0025026060262388333,0.0012984634172655699,0.0,0.0,0.0013637113934210554,-0.00111496491880333,0.0025026060262388333,0.0012984634172655699,0.0,0.0
96,5.538339658419345e-103,0.0,0.0,0.0,0.0,0.0,-0.0013190010482478738,0.002057934127432015,-0.0020441273295352114,0.0051989373410412775,0.0,0.0,-0.0013190010482478738,0.002057934127432015,-0.0020441273295352114,0.0051989373410412775,0.0,0.0
97,2.577014744098494e-44,0.0,0.0,0.0,0.0,0.0,-0.0012036191303834234,-0.0038865953590538705,0.0033727650599810225,0.0003849904763965563,0.0,0.0,-0.0012036191303834234,-0.0038865953590538705,0.0033727650599810225,0.0003849904763965563,0.0,0.0
98,1.5274627634314203e-125,0.0,0.0,0.0,0.0,0.0,-0.000541403354419251,-0.0001808196602503866,-0.0012261992863223893,-0.0016487369158878554,0.0,0.0,-0.000541403354419251,-0.0001808196602503866,-0.0012261992863223893,-0.0016487369158878554,0.0,0.0
99,1.4320024140318612e-140,0.0,0.0,0.0,0.0,0.0,-0.0013137312255632437,-0.0018574502392806093,-0.0014006522963883599,-0.002230231945392504,0.0,0.0,-0.0013137312255632437,-0.0018574502392806093,-0.0014006522963883599,-0.002230231945392504,0.0,0.0
100,1.0932200551448228e-45,0.0,0.0,0.0,0.0,0.0,-0.0008234789471638576,-0.0026162593261429374,0.0044445839228041,0.0014592802268851431,0.0,0.0,-0.0008234789471638576,-0.0026162593261429374,0.0044445839228041,0.0014592802268851431,0.0,0.0
101,1.499003871480925e-152,0.0,0.0,0.0,0.0,0.0,-0.0011486987676371625,-0.0018119802415449185,-0.0020931234006247306,-0.0012919078633321962,0.0,0.0,-0.0011486987676371625,-0.0018119802415449185,-0.0020931234006247306,-0.0012919078633321962,0.0,0.0
102,4.7654420763233596e-163,0.0,0.0,0.0,0.0,0.0,0.0005577397846322261,-0.0015320576703157028,0.0015698532498536538,-0.0018536915588715898,0.0,0.0,0.0005577397846322261,-0.0015320576703157028,0.0015698532498536538,-0.0018536915588715898,0.0,0.0
103,2.87511534646185e-10,0.0,0.0,0.0,0.0,0.0,-0.004882564710402732,0.017959379304418478,0.0013304355587570977,0.015218982074603335,0.0,0.0,-0.004882564422891198,0.017959379304418478,0.0013304355587570977,0.015218982074603335,0.0,0.0
104,3.689598919908366e-60,0.0,0.0,0.0,0.0,0.0,0.0013477009256389948,-0.0011765015177703018,0.0020752914757897483,0.0013690002624931472,0.0,0.0,0.0013477009256389948,-0.0011765015177703018,0.0020752914757897483,0.0013690002624931472,0.0,0.0
105,2.3984113446903643e-18,0.0,0.0,0.0,0.0,0.0,-0.00571097825065544,0.0014515596768370524,-0.0039903341021392666,-0.010772948080051001,0.0,0.0,-0.005710978250655438,0.0014515596768370524,-0.0039903341021392666,-0.010772948080051001,0.0,0.0
106,6.296332383290122e-150,0.0,0.0,0.0,0.0,0.0,-0.0009234031070953927,-0.0018755819645810024,-0.00022698444974919528,-0.002659192002258791,0.0,0.0,-0.0009234031070953927,-0.0018755819645810024,-0.00022698444974919528,-0.002659192002258791,0.0,0.0
107,6.321114775440272e-29,0.0,0.0,0.0,0.0,0.0,-0.005965716500933597,-0.005384873948500825,-0.007473496010385934,-0.004713414530999392,0.0,0.0,-0.005965716500933597,-0.005384873948500825,-0.007473496010385934,-0.004713414530999392,0.0,0.0
108,5.0528261609182826e-157,0.0,0.0,0.0,0.0,0.0,-0.0009775912814824327,0.0001539082441001103,0.003041767364377631,-0.0021615938498682095,0.0,0.0,-0.0009775912814824327,0.0001539082441001103,0.003041767364377631,-0.0021615938498682095,0.0,0.0
109,0.03500244620694318,0.0,0.0,0.0,0.0,0.0,0.09113608516167446,0.048850815854028,0.22431805932640414,0.05074798646818379,0.0,0.0,0.12613853136861763,0.048850815854028,0.22431805932640414,0.05074798646818379,0.0,0.0
110,3.17392822729339e-67,0.0,0.0,0.0,0.0,0.0,0.003102686222564988,0.0020782765992265694,0.004752133945024016,0.0004448731781036743,0.0,0.0,0.003102686222564988,0.0020782765992265694,0.004752133945024016,0.0004448731781036743,0.0,0.0
111,0.1538048777142917,0.0,0.0,0.0,0.0,0.0,0.37609130231381777,0.05187752423936678,0.19042064903746422,0.03397956978991298,0.0,0.0,0.5298961800281095,0.05187752423936678,0.19042064903746422,0.03397956978991298,0.0,0.0
112,6.997168669791816e-107,0.0,0.0,0.0,0.0,0.0,-0.0013822797060198812,0.0006549200669744974,0.0008034645216886196,0.0031722204305917913,0.0,0.0,-0.0013822797060198812,0.0006549200669744974,0.0008034645216886196,0.0031722204305917913,0.0,0.0
113,3.460062702899152e-39,0.0,0.0,0.0,0.0,0.0,0.0032171591484187944,-0.002669815946571791,-0.00646563395633992,-0.004925775167874784,0.0,0.0,0.0032171591484187944,-0.002669815946571791,-0.00646563395633992,-0.004925775167874784,0.0,0.0
