particle_id,x_nm,y_nm,radius_nm,degree,incident_intensity_v2_per_m2,scattered_intensity_v2_per_m2,total_intensity_v2_per_m2,dipole_intensity_c2_m2,normalized_dipole_intensity,directly_illuminated,remote
65,652.6368104649491,-107.56152704257728,21.663688906115926,4,1.6546664087445418e-265,8.777855624339623e-06,8.777855624339623e-06,1.6976722509440622e-71,3.872705214669836e-06,False,True
66,515.1868098946843,-32.931533101507966,18.66681011535059,3,1.3569930949615131e-220,2.2134730776686595e-05,2.2134730776686595e-05,1.7523444933002908e-71,3.997422737709349e-06,False,True
67,-194.81748041578692,-182.17526488497364,17.725377782131723,2,5.97400443441041e-28,0.0006141399577434697,0.0006141399577429022,3.564326160548043e-70,8.13088892809696e-05,False,True
68,50.64350875293731,-170.77200506594028,19.959808551628434,3,6.850604336297082e-65,9.874453051714519e-05,9.874453051714519e-05,1.168303189906281e-70,2.6651162221385325e-05,False,True
69,452.0721386261719,124.16626178020344,18.861896360013628,2,5.91634981545003e-230,2.4592043871873546e-05,2.4592043871873546e-05,2.0721849592573685e-71,4.727038150628777e-06,False,True
70,525.5789992192288,-112.81773077367254,20.91074996371315,3,8.893167093894239e-212,8.842207231463507e-06,8.842207231463507e-06,1.3831364923290056e-71,3.1551908228835035e-06,False,True
71,349.8979921156689,123.69912968640676,21.000269180293515,2,3.750450601957694e-195,2.4772671168894285e-05,2.4772671168894285e-05,3.975638791989982e-71,9.069169312758354e-06,False,True
72,164.9053653420784,-281.52689734131195,19.414867192252192,3,4.573064709985554e-79,3.6210270673725696e-05,3.6210270673725696e-05,3.62870474238857e-71,8.277748411409015e-06,False,True
73,563.393969204095,-140.05284496091065,23.04503777090587,2,4.5929703324943965e-223,4.158881067544088e-06,4.158881067544088e-06,1.1654089686248985e-71,2.6585139667016627e-06,False,True
74,692.6692319574182,-115.776115351718,17.56969261086213,2,2.220788937748997e-282,8.566534747666726e-06,8.566534747666726e-06,4.715515140434895e-72,1.075696446358332e-06,False,True
75,-8.032391206322906,-294.8222087643295,24.680025845310883,3,2.5201357589880273e-42,0.00012179270195666513,0.00012179270195666513,5.148527869502586e-70,0.00011744746794917495,False,True
76,-300.6368947189747,-291.17128939772164,22.551411545696368,4,4.745156234950476e-10,0.0031730869972225713,0.003172502451055199,7.80718444744812e-69,0.0017809635460972028,False,True
77,724.0875962546329,-125.9827590850939,13.498861076488454,2,1.4114598695194498e-295,5.489479669241057e-06,5.489479669241057e-06,6.215686015101199e-73,1.4179132415015206e-07,False,True
78,-95.96488107112819,-23.043137779608685,17.183894988055297,3,5.768265786910178e-63,0.00026739883118026303,0.00026739883118026303,1.288346444291149e-70,2.9389571457818877e-05,False,True
79,600.7155326246913,-165.27163371973558,19.07614021995095,2,2.7749607572865667e-235,3.140773544481974e-06,3.140773544481974e-06,2.832032516937213e-72,6.460391333108186e-07,False,True
80,-123.03948639113476,6.231856234564727,19.088285815384044,2,6.074300584523884e-65,0.0002487559021468384,0.0002487559021468384,2.2516109921095063e-70,5.1363422036858886e-05,False,True
81,361.3115624294611,15.793922556848992,22.701655608732082,1,4.011349188774385e-175,2.6298246908562777e-05,2.6298246908562777e-05,6.734700358961459e-71,1.536310037752289e-05,False,True
82,-45.59038599371503,-328.19296813308705,18.92384429055623,2,4.385496026655708e-34,0.00017737780464237383,0.00017737780464237348,1.5243206230567563e-70,3.4772580057534223e-05,False,True
83,1.646613024492611,-341.502950778159,20.139126934171653,2,3.369026630369334e-41,0.00011007399117302739,0.00011007399117302739,1.3741359473973131e-70,3.134658910865473e-05,False,True
84,548.3208340074762,-12.79197784225413,17.94060212799859,2,2.7978856797172384e-237,2.4060912867949794e-05,2.4060912867949794e-05,1.501303754525326e-71,3.424752260467504e-06,False,True
85,244.52397482659424,-195.67366732870272,20.89808583744968,2,1.2279677240260274e-107,1.130985474776373e-05,1.130985474776373e-05,1.7627187586772404e-71,4.021088360800815e-06,False,True
86,498.63713860469477,112.98568529505506,20.90948019490394,2,1.65260613718322e-244,1.9142493696997567e-05,1.9142493696997567e-05,2.993261454765617e-71,6.828184438011985e-06,False,True
87,-163.1046966816711,19.031472353355262,19.36865240135902,2,8.20054665427565e-63,0.00016607372050564663,0.00016607372050564663,1.6406328227477957e-70,3.742587701766725e-05,False,True
88,756.4635033459276,-150.0816997448474,24.508683718411937,4,7.471617382735847e-308,7.727869486882449e-06,7.727869486882449e-06,3.1330947654461044e-71,7.1471701498628614e-06,False,True
89,-156.36812114158823,-249.32440740041804,17.990711546055522,2,4.990325629720381e-25,0.000621977463758051,0.0006219774637437341,3.946375719456096e-70,9.002414817869119e-05,False,True
90,-341.9178160062286,-300.17317389767095,16.67936346462095,2,1.1381805430314403e-07,0.003429133380172372,0.0034239421700648105,1.3795970834808935e-69,0.000314711677496565,False,True
91,541.7340986371487,125.8325547613957,21.04258474852588,2,2.4614006601631407e-264,9.161716844791147e-06,9.161716844791147e-06,1.4881799057867014e-71,3.39481432785516e-06,False,True
92,250.61895355031936,-86.92838041971976,23.10724950498657,4,9.227669164097094e-124,3.3960882104267295e-05,3.3960882104267295e-05,9.671729013212377e-71,2.2063007369951568e-05,False,True
93,-5.093312447057891,-382.39254872228406,18.75484692876983,2,2.627290445850505e-38,0.0001413551420676913,0.0001413551420676913,1.1511080175973359e-70,2.6258908454906155e-05,False,True
94,586.6544157294759,126.27837297971773,21.85837622157126,2,1.041573313575572e-282,8.422675714992874e-06,8.422675714992874e-06,1.7187949140463379e-71,3.920889926117176e-06,False,True
95,280.27054187740885,-210.025512172201,15.327336171458008,2,3.406284951506921e-116,1.1051899703252417e-05,1.1051899703252417e-05,2.681629778018792e-72,6.117294795489636e-07,False,True
96,460.4984959449422,-4.72279431181612,18.075304092823092,3,3.067320617202051e-205,3.718226265355447e-05,3.718226265355447e-05,2.4265102690117445e-71,5.535319886995857e-06,False,True
97,203.4758342083016,-292.774164297298,18.347089836520134,2,6.641004991301026e-88,2.8078084312788872e-05,2.8078084312788872e-05,2.0040088245448474e-71,4.57151574501109e-06,False,True
98,638.1248685580244,-173.3979549904096,15.403365917781848,3,2.333142493669551e-250,4.547711449298416e-06,4.547711449298416e-06,1.1367051738219533e-72,2.593035288027164e-07,False,True
99,674.0857857983397,-73.02079760961834,16.97130942170011,2,2.050630913793078e-280,1.2111772510050713e-05,1.2111772510050713e-05,5.415588892765903e-72,1.2353962511821493e-06,False,True
100,221.82540179513535,-325.0992233175377,15.896853158577045,2,1.1951300889708493e-90,2.940675546547863e-05,2.940675546547863e-05,8.881183152191863e-72,2.0259625664968586e-06,False,True
101,630.2421919551854,139.11057725300782,20.895785560868685,2,2.247012606714801e-304,1.0652972752102713e-05,1.0652972752102713e-05,1.6592431179840862e-71,3.7850412362272478e-06,False,True
102,781.2769682789783,-111.15646631543285,19.3353008376753,2,0.0,8.558885994042643e-06,8.558885994042643e-06,8.368303427653419e-72,1.908965190671582e-06,False,True
103,-180.9980330125962,-281.44363835771253,19.43637816860328,1,8.266288255460444e-20,0.0005797662173143477,0.0005797662145067604,5.84868079918529e-70,0.00013341925461377252,False,True
104,301.91548802796245,-240.26055603141236,19.794166885089822,2,1.3613140189788983e-119,9.381450034475925e-06,9.381450034475925e-06,1.055845667098578e-71,2.408579758893606e-06,False,True
105,-12.958911004955755,-421.17586201768665,18.11773512310034,3,5.7523769783394414e-36,0.0001667014746570489,0.0001667014746570489,1.1033034298566769e-70,2.516839716142509e-05,False,True
106,713.7739897856866,-70.17888826369537,20.648384035842106,3,3.9643801480867866e-299,1.1493305049360023e-05,1.1493305049360023e-05,1.666683520859831e-71,3.8020141749085027e-06,False,True
107,32.77752010812456,-209.25848379894816,19.496661273756253,3,3.995649200428932e-57,0.00014265605996904496,0.00014265605996904496,1.466100395337938e-70,3.3444468701761336e-05,False,True
108,777.4025543389864,-189.6861826490335,17.91292383787876,3,2.55310522124e-313,1.4904209132013348e-05,1.4904209132013348e-05,9.213879868091002e-72,2.1018568568022833e-06,False,True
109,-329.1798163198988,-393.29759722713794,18.207100698766087,2,0.0012251712404699508,0.06358613809873925,0.07119128117597501,4.8529127640179645e-68,0.011070393921499886,True,False
110,289.79360573057227,-94.95358120820684,14.930303140603506,3,1.0073820392009761e-133,3.672658459463293e-05,3.672658459463293e-05,7.613026399073805e-72,1.7366724948656594e-06,False,True
111,-341.5281103781145,-432.84034301040947,19.843454120087667,2,0.02365594040870822,0.18155057994026624,0.3208958738725453,3.6658444746168996e-67,0.0836247102768086,True,False
112,381.70937296708166,154.11985625291447,20.349074179784655,2,4.896036939351617e-213,1.304815517767658e-05,1.304815517767658e-05,1.7334623773799607e-71,3.954349129863078e-06,False,True
113,15.847642821166856,-39.915295550038074,18.56493053287368,2,1.1972033907993784e-77,8.354571363665143e-05,8.354571363665143e-05,6.400444993846208e-71,1.460060190657636e-05,False,True
114,589.1597677333748,2.493331928824963,23.35390137414016,3,7.576709807864002e-257,1.6164622402301545e-05,1.6164622402301545e-05,4.906265740833304e-71,1.1192101955200752e-05,False,True
115,585.8437409451776,49.001121354582175,20.852162332367016,3,7.760821785779403e-265,1.443051485797561e-05,1.443051485797561e-05,2.2196078956802858e-71,5.06333720619117e-06,False,True
116,823.6065018498639,-112.00105313708474,20.909858473322565,3,0.0,7.425821781940053e-06,7.425821781940053e-06,1.1612822716674176e-71,2.6491002057017337e-06,False,True
117,807.6264349555789,-216.78990519124852,20.56166541271032,3,0.0,1.212252589924479e-05,1.212252589924479e-05,1.7141005112690066e-71,3.910181122868833e-06,False,True
118,625.7536547863579,23.805679156627292,17.25532811363268,2,1.4642296467014994e-276,1.2859946491890579e-05,1.2859946491890579e-05,6.352156295651415e-72,1.4490446431510663e-06,False,True
119,-60.986592303362436,-362.6747557291402,16.4788896808757,2,4.76214678476103e-30,0.00026791855064727145,0.0002679185506472226,1.0039718744478595e-70,2.2902460185668582e-05,False,True
120,-18.196059286698087,-462.7819160352743,20.695865660548804,3,1.0511893558062851e-34,0.0001653649602194552,0.0001653649602194551,2.4312854791173908e-70,5.546213026744708e-05,False,True
121,675.6511580555597,150.48554694999012,23.999359664867523,3,0.0,8.42098221572812e-06,8.42098221572812e-06,3.010028728748043e-71,6.866433699229178e-06,False,True
